platform,name,price,full_text,url
Blinkit,Diet Tofu Soya Tofu,₹54,"Diet Tofu Soya Tofu
200 g
₹54
₹60
ADD",https://blinkit.com/s/?q=tofu%20silken
Blinkit,Now Healthy Tofu (200 g),₹41,"Now Healthy Tofu (200 g)
200 g
₹41
₹90
ADD",https://blinkit.com/s/?q=tofu%20silken
Blinkit,Diet Tofu Masala Tofu,₹37,"Diet Tofu Masala Tofu
100 g
₹37
₹40
ADD",https://blinkit.com/s/?q=tofu%20silken
Blinkit,Now Healthy Masala Tofu (150 g),₹41,"Now Healthy Masala Tofu (150 g)
150 g
₹41
₹99
ADD",https://blinkit.com/s/?q=tofu%20silken
